organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_website,date_provided,date_updated,status,donors
"Giving Children Hope",GCH-LR-14-8073,"",Ebola,"Ebola Outbreak Response","In response to the deadliest Ebola outbreak in history, Giving Children Hope (GCHope) has sent medical relief, basic needs, and cleaning supplies to Liberia, one of the most affected countries in West Africa.The disease has already claimed the lives of over 10 thousand people across West Africa. GCHope’s partner on the ground, Kingdom Care Medical Center serving in Monrovia, Liberia, has asked for sanitation supplies. These supplies are crucial to help treat those suffering from the illness as well as protect the medical professionals treating patients. Ebola spreads through contact with infected organs and bodily fluids including blood, saliva, and urine. There is no known cure for Ebola, so it is vital that the doctors and patients exposed to the disease take every precaution in order to prevent further spread of this incurable disease.

GCHopeplans to continue to send  more shipments of supplies as soon as we receive more hygiene items. The items to be shipped will include gloves, soap, sanitation supplies, cleaning supplies, and other relief items. Please consider supporting GCHope’s effort to further prevent the spread of this disease.  ","","",2014-09-01,2015-09-01,"","Health,Humanitarian aid,Non-food relief items (NFIs)","",,"","Kingdom Care Medical Center ","Kingdom Care Medical Center ",,"Ebola Patients",Liberia>Montserrado,http://gchope.org/tag/ebola-outbreak/,2014-10-01,2015-04-28,active,""
GlobalGiving,GG-GN-14-10632,17834.0,ebola,"Info Saves Lives: Ebola Outbreak in West Africa","The deadly Ebola outbreak in West Africa - the worst in recorded history - has so far claimed more than 4,000 lives. At Internews, we believe that during a public health emergency like this one, people need quick, free and reliable information about the disease and how to prevent it. Please help us to ensure that communities at risk, and especially those living in remote rural areas, get the right information now: how to identify early symptoms, prevent transmission, what to do and where to go.<br><br> Viruses like Ebola have the potential to wipe out entire communities and cripple health systems. Communities affected by the Ebola outbreak in West Africa need reliable information about the disease in languages that they understand, and from sources that they trust. The available information is often of poor quality, and misinformation and rumor have exacerbated the crisis. Bad news is spreading quickly, causing panic, and many rural communities are isolated from formal sources of information.<br><br> Local media are a vital partner in ensuring that people get the news and information they desperately need to protect themselves and their families against the threat of the Ebola virus. Internews has worked since the early days of the Ebola outbreak in Guinea to provide information about the disease itself, how to prevent its spread and where to seek treatment. Your support helps us continue this critical work in Guinea, while expanding this project to Liberia and Sierra Leone.<br><br> Internews is an international non-profit organization whose mission is to empower local media worldwide to give people the news and information they need, the ability to connect and the means to make their voices heard. Our goal when it comes to global health is simple: to ensure access to quality health information so that people can make informed decisions to protect themselves. Information can save lives, and it is because of donors like you that we can continue this important work.","","",2014-08-06,2015-11-13,"","Communications,Health","",13058.0,"Internews Network","","",,"",Guinea,http://globalgiving.org/17834,2014-11-25,2015-01-09,active,"Private donations"
GlobalGiving,GG-LR-14-10001,17933.0,ebola,"Lifesaving Information: Halting Ebola in Liberia","The deadliest Ebola outbreak in history has already claimed almost 5,000 lives in West Africa - 70% have been women.  Accurate and timely information for public health campaigns is a key to halting the spread of the virus. Through the distribution of our solar and wind-up emergency radios, Liberians living in isolated areas will be able to access information 24/7 to combat rumor and misinformation and learn facts on how to protect themselves and what to do if they suspect someone is infected.<br><br> The Ebola virus in West Africa is highly contagious and symptoms appear 2 to 21 days after infection, meaning many who are infected are unaware. Critical to stopping its spread is ongoing access to radio information on how to identify early symptoms, prevent transmission, what to do and where to go. Rumors are rife, spreading quickly and causing panic and even rioting. Many poor and rural communities have low levels of literacy, don't own working radio sets and can't afford batteries.<br><br> Our solar and wind-up emergency radios will provide access to stations reporting 24/7 about the outbreak in Liberia. Community radio stations are broadcasting public health campaigns created locally, with international support. The Liberian government has also established special daily Ebola updates on United Nations radio stations. Lifeline Energy will be working with the UNDP to distribute the radios, which also have an LED light to enable people to see at night. Information saves lives.<br><br> Access to information will help halt the spread of the virus and potentially save hundreds, if not thousands of lives in Liberia and the region. The UN estimates that it will take at least six months, if not longer, to get the outbreak under control, making radio access all the more important. Liberia has some of the world's lowest and most expensive rates of electricity. Our Polaris radio-lights do not need batteries, thus providing sustainable 24/7 access to local and international channels.","","",2014-08-27,2015-11-13,"","Communications,Health,Humanitarian aid","",28054.0,"Lifeline Energy","","",,"",Liberia>Montserrado,http://globalgiving.org/17933,2014-11-25,2015-01-08,active,"Private donations"
GlobalGiving,GG-LR-14-10002,17956.0,ebola,"Prevent the spread of Ebola in West Point, Liberia","The most densely populated slum in the Republic of Liberia, West Point is home to an estimated 60,000 women, men and children. A single confirmed case of Ebola could be completely devastating to the entire community. Preventing the spread of the disease from the remaining population would be extremely difficult.<br><br> This outbreak of Ebola (or Ebola Hemorrhagic Fever) is the worst outbreak in recorded history and the Republic of Liberia has become one of the hardest hit countries, along with Sierra Leone and Guinea.<br><br> Founded in 2002, West Point Women for Health and Development is a front-line advocate in the areas of hygiene, clean water, and the protection of women and girls. They are perfectly positioned to engage in training around Ebola awareness and prevention and for the last three weeks have been providing education and supplies to the citizen of West Point. But like other NGOs this crisis has taken a toll on their resources and they cannot continue this work without additional resources.<br><br> Curtailing the disease as quickly as possible is not only critical to the immediate health and welfare of the West Point community, but failing to act has extremely poor implications for being able to provide even basic health services, or access to clean water and food.","","",2014-08-14,2015-11-13,"","Health,Humanitarian aid","",17584.0,"","West Point Women for Health and Development Org.","",,"",Liberia>Montserrado,http://globalgiving.org/17956,2014-11-25,2015-01-08,active,"Private donations"
GlobalGiving,GG-LR-14-9650,17788.0,ebola,"End Ebola Epidemic: Support Our Clinic's Response","Imani House has lost two of its staff to Ebola but we remain resolute to providing assistance and health care in the face of the contagious Ebola virus. Located on the outskirts of Monrovia Liberia the Clinic serves  17,000 woman & children each year. Please join us in this fight. Donations will help purchase; Hazmat supplies for the staff and community, an ambulance & vehicle, renovate our old building for triage of suspected cases, expand community awareness and serve as a bridge to others<br><br>The Ebola Virus is an incurable disease. It causes multiple organ failures and death spreads through bodily fluids, incubates from 2-25 days, and is often misdiagnosed as malaria. Research medication is unavailable to Liberia. Effective 9/26 over 1,500 Liberians have died with 3,000 infected.Treating people outside of clinics is common. It has killed 2 IHI staff. Infected people are being turned away from treatment Centers There must be more education, testing, isolation & treatment centers<br><br>What we will do: As the one clinic in Brewerville on the outskirts of the Capital Monrovia, the Imani House Clinic is the only option for medical care for many in the area. Our clinic is equipped to safeguard staff & patients from EVD. We are in the process of promoting a ""Masking All"" campaign; acquiring an Ambulance & medical supplies; creating a triage and holding center, expanding awareness, and speaking with the CDC to help create Stand Alone Early Stage Testing sites throughout the country<br><br>There is no cure for EVD, but adequate testing, active medical response & education can stop the spread. The financial support is used to bolster our own precautionary measures to fight the disease and stop the outbreak before it devastates the vulnerable population that we serve in the Clinic's community. Involvement of the whole community is our goal.  Changing sanitary habits must come from the people themselves.  We are creating systems and protocols to deal with infectious disease long term","","",2014-07-28,2015-11-13,"",Health,"",94737.0,"IMANI HOUSE, Inc","","",,"",Liberia>Montserrado,http://globalgiving.org/17788,2014-11-25,2015-01-07,active,"Private donations"
GlobalGiving,GG-LR-14-9651,17892.0,ebola,"Keeping Kakata, Liberia Safe From Ebola","When the local hospital closed and the government shutdown in July, our clinic was overwhelmed by the number of patients coming to us.  All of the health workers in Kakata ran away, but our staff stayed and did the work necessary.  Although our clinic is closed, we continue to serve the serious cases coming to our doors and to provide refills of medications.  As the hospitals reopen we make the needed referrals.  We continue to hold daily awareness/answer sessions and place hand washing stations<br><br>The first case of ebola in Liberia was reported in March 2014.  At that time it seemed the crisis was far away from Kakata, something reported in the news, rumored about town, with little impact on our daily work.  We continued to treat patients with very high fevers, diarrhea, vomiting, muscle pain, headaches, malaria, sore throats, injuries, pregnancies, and chronic diseases.  Between March and July, we worked in the clinic and out in the communities treating 2173 patients and deworming 3736.<br><br>Even though the government has discouraged travel, the population of Margibi County has grown from 135,000 to over 200,000 in the last 90 days.  Kakata, being centrally located, has seen a surge in population from both rural areas and the city, as people seek a safe place with their families.  Dr. Chris has shifted focus of the staff to prevention and public education.  We are in the communities every day setting up hand washing stations, teaching/answering questions, calming fears.<br><br> We are not the people that isolate and treat ebola, we're the other guys.  The people working to keep people safe while this crisis rages out of control.  We are doing everything we can to ensure that health is maintained during this crisis while medical facilities are closed and medications are in short supply.  Dr. Chris is one of only 90 doctors in the country.  She is Liberian, people trust her.  Our emphasis continues to be on community health, keeping people and communities safe and well.","","",2014-08-14,2015-11-13,"",Health,"",21162.0,"Foundation for Restoring Healthcare to Liberia, Inc.","","",,"",Liberia,http://globalgiving.org/17892,2014-11-25,2015-01-07,active,"Private donations"
GlobalGiving,GG-LR-14-9652,18271.0,ebola,"Fighting The Outbreak of Ebola in Liberia","Liberia, Guinea, Sierra Leone, and Nigeria are currently experiencing the most serious and widespread Ebola outbreak that history can record. The outbreak of this virus is claiming more and more lives on a daily basis. Communities are struggling to contain the virus and control the epidemic. VAAFD will help disseminate vital sanitation and medical supplies to clinics communities across Liberia, educate people on how to stop and contain the outbreak and support families of those in quarantine.<br><br>The Ebola virus is a highly transmissible, deadly virus that can kill the affected person within days or weeks. No treatment has yet been approved by WHO. Liberia has a limited number of health workers as well as medical equipment and sanitation supplies, making this epidemic above their capacity to control it. According to the WHO, the outbreak has resulted in more than 2,240 reported cases and since 16 August 2014 has 1,229 people. 466 of these deaths have happened in Liberia.<br><br>Donations will help aid organizations and health workers in clinics and hospitals in Monrovia, Bong County, Margibi County and Grand Bassa County get the necessary the resources needed to contain and stop the Ebola outbreak. Funds will be used for medical supplies, buckets, grooves, chloride, chlorine, and oral rehydration materials; sprayers, protective gear and hands sanitizers for regular hand washing. Funds will also go towards helping care for those already infected and put in quarantine.<br><br>Our continued efforts in human development, protection and safety in our communities put us in the best position to serve and meet the urgent need of Liberians. Our health team, VAAFD, the Ministry of Health along with other organizations involved with the fight of the virus will always be ready to respond to the health needs of the communities. With the support of donors and interest groups, our organization will be able to build a stronger team that will provide a better service.","","",2014-09-16,2015-11-13,"",Health,"",3382.0,"","Vision Awake Africa for Development","",,"","Liberia>Bong,Liberia>Grand Bassa,Liberia>Margibi",http://globalgiving.org/18271,2014-11-25,2015-01-07,active,"Private donations"
GlobalGiving,GG-LR-14-9999,17833.0,ebola,"Equip Liberians to End Ebola","Liberia is suffering through the worst outbreak of Ebola in recorded history. Accurate information is one of the primary ways to slow and ultimately stop the spread of this horrible disease.  Donate now and help us support grassroots organizations to mobilize, educate and bring accurate information into their communities to prevent the further spread of the Ebola Virus. Local communities are the first responders to this outbreak. They need tools to end the outbreak safely and quickly.<br><br> The West African Ebola outbreak is the worst in recorded history. Liberia's government was slow to contain the outbreak, enforce health precautions, inform communities and provide resources to contain the spread. EBV has now spread to over half of Liberia's counties. People, driven by misinformation and fear, continue to take unnecessary risks jeopardizing containment efforts.<br><br> Gbowee Peace Foundation Africa (GPFA) provides community-based organizations accurate information, materials and rapid mini grants to promote education and disease prevention. Additional grants go to rural media outlets to increase awareness and prevention messages to dispel misinformation.<br><br> Efforts to empower local community groups to allocate resources and services where it is most needed will allow the most efficient dissemination of information to prevent further spread of the virus. GPFA's efforts strengthens community groups role in rapid-response emergencies and increases coordination with government efforts, aiding to ease fears and misinformation.","","",2014-08-07,2015-11-13,"","Health,Humanitarian aid","",19596.0,"","Gbowee Peace Foundation Africa","",,"",Liberia>Montserrado,http://globalgiving.org/17833,2014-11-25,2015-01-08,active,"Private donations"
GlobalGiving,GG-SL-14-10931,17778.0,ebola,"Sierra Leone Ebola Campaign","Filmmakers at WeOwnTV and the Sierra Leone Film Council have produced a series of short video public service announcements (PSA's) for wide distribution on local television and radio to help sensitize the country about the current Ebola disease epidemic. We are seeking $10,000 to duplicate and distribute DVDs and VCDs, translate the films into 8 local languages as well as 2 international languages, and air the films daily on Sign Africa billboards and via other non traditional outlets.<br><br> Sierra Leone is experiencing an historic outbreak of the Ebola virus. The disease has no known treatment nor cure, and can be fatal within days or weeks. The disease has spread through Guinea, Sierra Leone, Liberia, and Nigeria. There have been over 1300 deaths as of mid-August, and 12 out of 13 districts in Sierra Leone are now affected by Ebola. There is misinformation and distrust in Sierra Leone, causing people not to get treated and allowing the disease to spread more widely.<br><br> As filmmakers and storytellers we feel we have an important role to play as misinformation and distrust is causing people not to get treated and allowing the disease to spread more widely.  Our objectives are to raise awareness within both rural and urban population across communities in Sierra Leone on the Ebola virus symptoms, prevention and care for Ebola survivors. We are currently working to produce videos and radio pieces in eight local and two international languages (English and French).<br><br> This project will help establish trust between the community with health and government officials  Grassroots level work like this works in countries like Sierra Leone as it provides an authentic voice critical to be able to avoid future health issues. not only equipped to respond to tragic events, but also help build a healthy media sector, democracy and economy and aspire beyond reacting to tragedy.","","",2014-09-03,2015-11-13,"",Health,"",4588.0,WeOwnTV,"","",,"","Sierra Leone",http://globalgiving.org/17778,2014-12-17,2015-01-13,active,"Private donations"
GlobalGiving,GG-SL-14-10942,17671.0,ebola,"Strategic Responses to Tackle Ebola - Sierra Leone","West Africa is experiencing the largest Ebola outbreak in history. This project will help to stop the Ebola crisis through a set of strategic actions including providing critical resources (personal protective clothing, medical equipment and supplies etc), Ebola training / sensitization, health kits, emergency relief aid and other support activities. Our targeted response addresses key areas of need to provide essential support to health workers, medical facilities and vulnerable communities.<br><br> The health system in Sierra Leone has been overwhelmed by the extent of this Ebola epidemic.  Tragically, the death count continues to rise, including that of nurses and doctors. A wide range of resources are needed to tackle Ebola. This epidemic has disrupted life in many communities and cities. The implications and ripple effect of the crisis are being felt at multiple levels and causing untold suffering and hardship. Responding to this crisis requires a set of strategic and targeted actions.<br><br> This project will help to tackle Ebola through strategic, responsive and focused actions. Our targeted responses are directed towards 3 essential areas - crisis containment, community sustenance and disease elimination.  Project will provide critical support and resources including personal protective equipment and medical equipment and supplies, sensitization (through one-on-one, community outreach etc.), health supplies / kits and emergency food aid.<br><br> This virus could eliminate a significant percentage of the population of Sierra Leone and extend to other African and international countries. This could cripple nations.  People are living in fear and facing economic hardships.  Our joint, strategic intervention will result in thousands of lives being potentially saved from infection and death.  Project will help tackle Ebola and restore normalcy to the people of Sierra Leone - so that they can move on to rebuilding their lives and nation.","","",2014-07-28,2015-11-13,"","Health,Humanitarian aid,Non-food relief items (NFIs)","",28044.0,"Develop Africa, Inc.","","",,"","Sierra Leone>Western",http://globalgiving.org/17671,2014-12-17,2015-01-13,active,"Private donations"
GlobalGiving,GG-SL-14-10943,17787.0,ebola,"Help Us Stop the Ebola Crisis in Sierra Leone","Health officials say the Ebola outbreak, centered in West Africa, is the deadliest ever with over 1,093 infected and almost 500 of those from Sierra Leone.  Greatest Goal Ministries operates a free outpatient hospital in Lakka.  The military has set up Ebola isolation tents directly outside the doors of our hospital.  This project will provide the desperately needed supplies and protective clothing for health care workers as well as support information materials needed for the community.<br><br> The Ebola virus disease has been detected for the first time in West Africa.  Fruit bats are believed to be the natural hosts of the Ebola virus and then transmitted to people.  The virus is passed from person to person through direct contact with the bodily fluids of an infected person.  There is no vaccine and no specific treatment available.  It is 90% fatal. 458 confirmed cases have now been documented from all districts of Sierra Leone with 153 deaths reported.<br><br> The citizens of Sierra Leone need to understand that Ebola is a medical disease. They need to start understanding how this disease is spread and how to prevent further spread.  This can only be done in the community through media, leaflets and door to door sensitization programs.  This project will help provide funding for these community awareness programs.  Healthcare workers need to be protected from contracting the disease. This project will provide funds for personal protective equipment.<br><br> Sierra Leone has some of the poorest health indicators in the world and the least amount of resources to adequately protect healthcare workers.  For the capital of Sierra Leone, Freetown, this is an important time. Raising awareness of the risk factors for infection and protective measures that should be taken is the only way to stop this epidemic. If the outbreak is not contained, health officials are worried that it may spread to other countries in the region.","","",2014-07-30,2015-11-13,"","Health,Humanitarian aid,Non-food relief items (NFIs)","",31879.0,"Greatest Goal Ministries USA","","",,"","Sierra Leone>Western",http://globalgiving.org/17787,2014-12-17,2015-01-13,active,"Private donations"
"IntraHealth International",IHI-LR-15-13178,"","","mHero: Leveraging health information systems (HIS) and mobile phones to support frontline health workers amid the Ebola outbreak in West Africa","mHero is a dynamic, integrated open source health worker communication and coordination system that provides tools to help countries tackle the core communication gaps present in Ebola-affected communities. mHero provides a trusted channel of information and support for frontline health workers. mHero leverages country investments in the IntraHealth International-supported iHRIS software, the University of Oslo-supported DHIS2 health indicator reporting software, and the UNICEF-supported RapidPro mobile SMS platform. Through mHero’s multipartner collaborative approach and inherent interoperability with these and other critical technologies, national health leaders can use basic mobile phone technology to communicate and coordinate with the health workers and public health officials on the front lines of care. ","mHero has been selected as one of 15 innovations for USAID’s Fighting Ebola Grand Challenge. The comprehensive SMS-based mHero platform will extend and enhance existing national health information technologies to support health workers, leveraging prior country investments and infrastructure while building increased health system resilience beyond the Ebola epidemic.","",2015-06-09,2016-06-08,"",Health,"",700000.0,UNICEF,"Ministry of Health/Liberia; Ministry of Health/Guinea","IntraHealth International",,"","Guinea,Liberia","",2015-06-11,2015-06-12,active,"U.S. Agency for International Development (USAID)"
"International Medical Corps",IMC-GN-15-11384,"",ebola,"Emergency intervention to manage Ebola Virus Disease (EVD) cases in Guinea","Emergency intervention to manage Ebola Virus Disease (EVD) cases in Guinea","","",2015-02-01,2016-01-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea>Beyla,Guinea>Boffa,Guinea>Boke,Guinea>Conakry,Guinea>Coyah,Guinea>Dabola,Guinea>Dalaba,Guinea>Dinguiraye,Guinea>Dubreka,Guinea>Faranah,Guinea>Forecariah,Guinea>Fria,Guinea>Gaoual,Guinea>Gueckedou,Guinea>Kankan,Guinea>Kerouane,Guinea>Kindia,Guinea>Kissidougou,Guinea>Koubia,Guinea>Koundara,Guinea>Kouroussa,Guinea>Labe,Guinea>Lelouma,Guinea>Lola,Guinea>Macenta,Guinea>Mali,Guinea>Mamou,Guinea>Mandiana,Guinea>Nzerekore,Guinea>Pita,Guinea>Siguiri,Guinea>Telimele,Guinea>Tougue,Guinea>Yomou","",2015-02-20,2015-02-20,active,""
"International Medical Corps",IMC-GN-15-13742,"",ebola,"Emergency Intervention to Manage Ebola Virsus Disease (EVD) Cases in Guinea","SRU construction and operation; Rapid Response Team operations","","",2015-02-01,2016-01-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea>Boke,Guinea>Conakry,Guinea>Coyah,Guinea>Dubreka,Guinea>Kindia","",2015-06-17,2015-06-17,active,""
"International Medical Corps",IMC-GW-15-13743,"",ebola,"Ebola Virus Disease Preparedeness and Response in Guinea Bissau","Ebola Virus Disease Preparedeness and Response in Guinea Bissau","","",2015-04-01,2016-03-31,"","Health,Humanitarian aid","",,"","","",,"","Guinea-Bissau>Gabu,Guinea-Bissau>Tombali","",2015-06-17,2015-06-17,active,""
